Unnamed: 0,Area,Item,,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
10561,India,Potatoes,,157136,1083,75000,25.44
10562,India,Potatoes,,157136,1083,75000,24.78
10563,India,Potatoes,,157136,1083,75000,26.59
10564,India,Potatoes,,157136,1083,75000,24.37
10565,India,Potatoes,,157136,1083,75000,26.63
10566,India,Potatoes,,157136,1083,75000,26.63
10567,India,Potatoes,,157136,1083,75000,25.64
10568,India,"Rice, paddy",,26125,1083,75000,25.58
10569,India,"Rice, paddy",,26125,1083,75000,26.88
10570,India,"Rice, paddy",,26125,1083,75000,25.79
10571,India,"Rice, paddy",,26125,1083,75000,24.1
10572,India,"Rice, paddy",,26125,1083,75000,25.25
10573,India,"Rice, paddy",,26125,1083,75000,25.44
10574,India,"Rice, paddy",,26125,1083,75000,25.54
10575,India,"Rice, paddy",,26125,1083,75000,26.36
10576,India,"Rice, paddy",,26125,1083,75000,26.91
10577,India,"Rice, paddy",,26125,1083,75000,25.16
10578,India,"Rice, paddy",,26125,1083,75000,25.77
10579,India,"Rice, paddy",,26125,1083,75000,25.12
10580,India,"Rice, paddy",,26125,1083,75000,24.1
10581,India,"Rice, paddy",,26125,1083,75000,25.68
10582,India,"Rice, paddy",,26125,1083,75000,25.54
10583,India,"Rice, paddy",,26125,1083,75000,25.44
10584,India,"Rice, paddy",,26125,1083,75000,24.78
10585,India,"Rice, paddy",,26125,1083,75000,26.59
10586,India,"Rice, paddy",,26125,1083,75000,24.37
10587,India,"Rice, paddy",,26125,1083,75000,26.63
10588,India,"Rice, paddy",,26125,1083,75000,26.63
10589,India,"Rice, paddy",,26125,1083,75000,25.64
10590,India,Sorghum,,8136,1083,75000,25.58
10591,India,Sorghum,,8136,1083,75000,26.88
10592,India,Sorghum,,8136,1083,75000,25.79
10593,India,Sorghum,,8136,1083,75000,24.1
10594,India,Sorghum,,8136,1083,75000,25.25
10595,India,Sorghum,,8136,1083,75000,25.44
10596,India,Sorghum,,8136,1083,75000,25.54
10597,India,Sorghum,,8136,1083,75000,26.36
10598,India,Sorghum,,8136,1083,75000,26.91
10599,India,Sorghum,,8136,1083,75000,25.16
10600,India,Sorghum,,8136,1083,75000,25.77
10601,India,Sorghum,,8136,1083,75000,25.12
10602,India,Sorghum,,8136,1083,75000,24.1
10603,India,Sorghum,,8136,1083,75000,25.68
10604,India,Sorghum,,8136,1083,75000,25.54
10605,India,Sorghum,,8136,1083,75000,25.44
10606,India,Sorghum,,8136,1083,75000,24.78
10607,India,Sorghum,,8136,1083,75000,26.59
10608,India,Sorghum,,8136,1083,75000,24.37
10609,India,Sorghum,,8136,1083,75000,26.63
10610,India,Sorghum,,8136,1083,75000,26.63
10611,India,Sorghum,,8136,1083,75000,25.64
10612,India,Soybeans,,10145,1083,75000,25.58
10613,India,Soybeans,,10145,1083,75000,26.88
10614,India,Soybeans,,10145,1083,75000,25.79
10615,India,Soybeans,,10145,1083,75000,24.1
10616,India,Soybeans,,10145,1083,75000,25.25
10617,India,Soybeans,,10145,1083,75000,25.44
10618,India,Soybeans,,10145,1083,75000,25.54
10619,India,Soybeans,,10145,1083,75000,26.36
10620,India,Soybeans,,10145,1083,75000,26.91
10621,India,Soybeans,,10145,1083,75000,25.16
10622,India,Soybeans,,10145,1083,75000,25.77
10623,India,Soybeans,,10145,1083,75000,25.12
10624,India,Soybeans,,10145,1083,75000,24.1
10625,India,Soybeans,,10145,1083,75000,25.68
10626,India,Soybeans,,10145,1083,75000,25.54
10627,India,Soybeans,,10145,1083,75000,25.44
10628,India,Soybeans,,10145,1083,75000,24.78
10629,India,Soybeans,,10145,1083,75000,26.59
10630,India,Soybeans,,10145,1083,75000,24.37
10631,India,Soybeans,,10145,1083,75000,26.63
10632,India,Soybeans,,10145,1083,75000,26.63
10633,India,Soybeans,,10145,1083,75000,25.64
10634,India,Sweet potatoes,,79663,1083,75000,25.58
10635,India,Sweet potatoes,,79663,1083,75000,26.88
10636,India,Sweet potatoes,,79663,1083,75000,25.79
10637,India,Sweet potatoes,,79663,1083,75000,24.1
10638,India,Sweet potatoes,,79663,1083,75000,25.25
10639,India,Sweet potatoes,,79663,1083,75000,25.44
10640,India,Sweet potatoes,,79663,1083,75000,25.54
10641,India,Sweet potatoes,,79663,1083,75000,26.36
10642,India,Sweet potatoes,,79663,1083,75000,26.91
10643,India,Sweet potatoes,,79663,1083,75000,25.16
10644,India,Sweet potatoes,,79663,1083,75000,25.77
10645,India,Sweet potatoes,,79663,1083,75000,25.12
10646,India,Sweet potatoes,,79663,1083,75000,24.1
10647,India,Sweet potatoes,,79663,1083,75000,25.68
10648,India,Sweet potatoes,,79663,1083,75000,25.54
10649,India,Sweet potatoes,,79663,1083,75000,25.44
10650,India,Sweet potatoes,,79663,1083,75000,24.78
10651,India,Sweet potatoes,,79663,1083,75000,26.59
10652,India,Sweet potatoes,,79663,1083,75000,24.37
10653,India,Sweet potatoes,,79663,1083,75000,26.63
10654,India,Sweet potatoes,,79663,1083,75000,26.63
10655,India,Sweet potatoes,,79663,1083,75000,25.64
10656,India,Wheat,,21211,1083,75000,25.58
10657,India,Wheat,,21211,1083,75000,26.88
10658,India,Wheat,,21211,1083,75000,25.79
10659,India,Wheat,,21211,1083,75000,24.1
10660,India,Wheat,,21211,1083,75000,25.25
10661,India,Wheat,,21211,1083,75000,25.44
10662,India,Wheat,,21211,1083,75000,25.54
10663,India,Wheat,,21211,1083,75000,26.36
10664,India,Wheat,,21211,1083,75000,26.91
10665,India,Wheat,,21211,1083,75000,25.16
10666,India,Wheat,,21211,1083,75000,25.77
10667,India,Wheat,,21211,1083,75000,25.12
10668,India,Wheat,,21211,1083,75000,24.1
10669,India,Wheat,,21211,1083,75000,25.68
10670,India,Wheat,,21211,1083,75000,25.54
10671,India,Wheat,,21211,1083,75000,25.44
10672,India,Wheat,,21211,1083,75000,24.78
10673,India,Wheat,,21211,1083,75000,26.59
10674,India,Wheat,,21211,1083,75000,24.37
10675,India,Wheat,,21211,1083,75000,26.63
10676,India,Wheat,,21211,1083,75000,26.63
10677,India,Wheat,,21211,1083,75000,25.64
10678,India,Cassava,,218925,1083,72133,25.85
10679,India,Cassava,,218925,1083,72133,26.9
10680,India,Cassava,,218925,1083,72133,25.96
10681,India,Cassava,,218925,1083,72133,23.77
10682,India,Cassava,,218925,1083,72133,25.49
10683,India,Cassava,,218925,1083,72133,25.82
10684,India,Cassava,,218925,1083,72133,25.74
10685,India,Cassava,,218925,1083,72133,26.54
10686,India,Cassava,,218925,1083,72133,27.35
10687,India,Cassava,,218925,1083,72133,25.4
10688,India,Cassava,,218925,1083,72133,25.99
10689,India,Cassava,,218925,1083,72133,25.32
10690,India,Cassava,,218925,1083,72133,23.77
10691,India,Cassava,,218925,1083,72133,26.2
10692,India,Cassava,,218925,1083,72133,25.74
10693,India,Cassava,,218925,1083,72133,25.55
10694,India,Cassava,,218925,1083,72133,25.06
10695,India,Cassava,,218925,1083,72133,26.34
10696,India,Cassava,,218925,1083,72133,24.62
10697,India,Cassava,,218925,1083,72133,26.7
10698,India,Cassava,,218925,1083,72133,26.7
10699,India,Cassava,,218925,1083,72133,25.74
10700,India,Maize,,13763,1083,72133,25.85
10701,India,Maize,,13763,1083,72133,26.9
10702,India,Maize,,13763,1083,72133,25.96
10703,India,Maize,,13763,1083,72133,23.77
10704,India,Maize,,13763,1083,72133,25.49
10705,India,Maize,,13763,1083,72133,25.82
10706,India,Maize,,13763,1083,72133,25.74
10707,India,Maize,,13763,1083,72133,26.54
10708,India,Maize,,13763,1083,72133,27.35
10709,India,Maize,,13763,1083,72133,25.4
10710,India,Maize,,13763,1083,72133,25.99
10711,India,Maize,,13763,1083,72133,25.32
10712,India,Maize,,13763,1083,72133,23.77
10713,India,Maize,,13763,1083,72133,26.2
10714,India,Maize,,13763,1083,72133,25.74
10715,India,Maize,,13763,1083,72133,25.55
10716,India,Maize,,13763,1083,72133,25.06
10717,India,Maize,,13763,1083,72133,26.34
10718,India,Maize,,13763,1083,72133,24.62
10719,India,Maize,,13763,1083,72133,26.7
10720,India,Maize,,13763,1083,72133,26.7
10721,India,Maize,,13763,1083,72133,25.74
10722,India,Potatoes,,162540,1083,72133,25.85
10723,India,Potatoes,,162540,1083,72133,26.9
10724,India,Potatoes,,162540,1083,72133,25.96
10725,India,Potatoes,,162540,1083,72133,23.77
10726,India,Potatoes,,162540,1083,72133,25.49
10727,India,Potatoes,,162540,1083,72133,25.82
10728,India,Potatoes,,162540,1083,72133,25.74
10729,India,Potatoes,,162540,1083,72133,26.54
10730,India,Potatoes,,162540,1083,72133,27.35
10731,India,Potatoes,,162540,1083,72133,25.4
10732,India,Potatoes,,162540,1083,72133,25.99
10733,India,Potatoes,,162540,1083,72133,25.32
10734,India,Potatoes,,162540,1083,72133,23.77
10735,India,Potatoes,,162540,1083,72133,26.2
10736,India,Potatoes,,162540,1083,72133,25.74
10737,India,Potatoes,,162540,1083,72133,25.55
10738,India,Potatoes,,162540,1083,72133,25.06
10739,India,Potatoes,,162540,1083,72133,26.34
10740,India,Potatoes,,162540,1083,72133,24.62
10741,India,Potatoes,,162540,1083,72133,26.7
10742,India,Potatoes,,162540,1083,72133,26.7
10743,India,Potatoes,,162540,1083,72133,25.74
10744,India,"Rice, paddy",,26271,1083,72133,25.85
10745,India,"Rice, paddy",,26271,1083,72133,26.9
10746,India,"Rice, paddy",,26271,1083,72133,25.96
10747,India,"Rice, paddy",,26271,1083,72133,23.77
10748,India,"Rice, paddy",,26271,1083,72133,25.49
10749,India,"Rice, paddy",,26271,1083,72133,25.82
10750,India,"Rice, paddy",,26271,1083,72133,25.74
10751,India,"Rice, paddy",,26271,1083,72133,26.54
10752,India,"Rice, paddy",,26271,1083,72133,27.35
10753,India,"Rice, paddy",,26271,1083,72133,25.4
10754,India,"Rice, paddy",,26271,1083,72133,25.99
10755,India,"Rice, paddy",,26271,1083,72133,25.32
10756,India,"Rice, paddy",,26271,1083,72133,23.77
10757,India,"Rice, paddy",,26271,1083,72133,26.2
10758,India,"Rice, paddy",,26271,1083,72133,25.74
10759,India,"Rice, paddy",,26271,1083,72133,25.55
10760,India,"Rice, paddy",,26271,1083,72133,25.06
10761,India,"Rice, paddy",,26271,1083,72133,26.34
10762,India,"Rice, paddy",,26271,1083,72133,24.62
10763,India,"Rice, paddy",,26271,1083,72133,26.7
10764,India,"Rice, paddy",,26271,1083,72133,26.7
10765,India,"Rice, paddy",,26271,1083,72133,25.74
10766,India,Sorghum,,6553,1083,72133,25.85
10767,India,Sorghum,,6553,1083,72133,26.9
10768,India,Sorghum,,6553,1083,72133,25.96
10769,India,Sorghum,,6553,1083,72133,23.77
10770,India,Sorghum,,6553,1083,72133,25.49
10771,India,Sorghum,,6553,1083,72133,25.82
10772,India,Sorghum,,6553,1083,72133,25.74
10773,India,Sorghum,,6553,1083,72133,26.54
10774,India,Sorghum,,6553,1083,72133,27.35
10775,India,Sorghum,,6553,1083,72133,25.4
10776,India,Sorghum,,6553,1083,72133,25.99
10777,India,Sorghum,,6553,1083,72133,25.32
10778,India,Sorghum,,6553,1083,72133,23.77
10779,India,Sorghum,,6553,1083,72133,26.2
10780,India,Sorghum,,6553,1083,72133,25.74
10781,India,Sorghum,,6553,1083,72133,25.55
10782,India,Sorghum,,6553,1083,72133,25.06
10783,India,Sorghum,,6553,1083,72133,26.34
10784,India,Sorghum,,6553,1083,72133,24.62
10785,India,Sorghum,,6553,1083,72133,26.7
10786,India,Sorghum,,6553,1083,72133,26.7
10787,India,Sorghum,,6553,1083,72133,25.74
10788,India,Soybeans,,7825,1083,72133,25.85
10789,India,Soybeans,,7825,1083,72133,26.9
10790,India,Soybeans,,7825,1083,72133,25.96
10791,India,Soybeans,,7825,1083,72133,23.77
10792,India,Soybeans,,7825,1083,72133,25.49
10793,India,Soybeans,,7825,1083,72133,25.82
10794,India,Soybeans,,7825,1083,72133,25.74
10795,India,Soybeans,,7825,1083,72133,26.54
10796,India,Soybeans,,7825,1083,72133,27.35
10797,India,Soybeans,,7825,1083,72133,25.4
10798,India,Soybeans,,7825,1083,72133,25.99
10799,India,Soybeans,,7825,1083,72133,25.32
10800,India,Soybeans,,7825,1083,72133,23.77
10801,India,Soybeans,,7825,1083,72133,26.2
10802,India,Soybeans,,7825,1083,72133,25.74
10803,India,Soybeans,,7825,1083,72133,25.55
10804,India,Soybeans,,7825,1083,72133,25.06
10805,India,Soybeans,,7825,1083,72133,26.34
10806,India,Soybeans,,7825,1083,72133,24.62
10807,India,Soybeans,,7825,1083,72133,26.7
10808,India,Soybeans,,7825,1083,72133,26.7
10809,India,Soybeans,,7825,1083,72133,25.74
10810,India,Sweet potatoes,,83453,1083,72133,25.85
10811,India,Sweet potatoes,,83453,1083,72133,26.9
10812,India,Sweet potatoes,,83453,1083,72133,25.96
10813,India,Sweet potatoes,,83453,1083,72133,23.77
10814,India,Sweet potatoes,,83453,1083,72133,25.49
10815,India,Sweet potatoes,,83453,1083,72133,25.82
10816,India,Sweet potatoes,,83453,1083,72133,25.74
10817,India,Sweet potatoes,,83453,1083,72133,26.54
10818,India,Sweet potatoes,,83453,1083,72133,27.35
10819,India,Sweet potatoes,,83453,1083,72133,25.4
10820,India,Sweet potatoes,,83453,1083,72133,25.99
10821,India,Sweet potatoes,,83453,1083,72133,25.32
10822,India,Sweet potatoes,,83453,1083,72133,23.77
10823,India,Sweet potatoes,,83453,1083,72133,26.2
10824,India,Sweet potatoes,,83453,1083,72133,25.74
10825,India,Sweet potatoes,,83453,1083,72133,25.55
10826,India,Sweet potatoes,,83453,1083,72133,25.06
10827,India,Sweet potatoes,,83453,1083,72133,26.34
10828,India,Sweet potatoes,,83453,1083,72133,24.62
10829,India,Sweet potatoes,,83453,1083,72133,26.7
10830,India,Sweet potatoes,,83453,1083,72133,26.7
10831,India,Sweet potatoes,,83453,1083,72133,25.74
10832,India,Wheat,,22814,1083,72133,25.85
10833,India,Wheat,,22814,1083,72133,26.9
10834,India,Wheat,,22814,1083,72133,25.96
10835,India,Wheat,,22814,1083,72133,23.77
10836,India,Wheat,,22814,1083,72133,25.49
10837,India,Wheat,,22814,1083,72133,25.82
10838,India,Wheat,,22814,1083,72133,25.74
10839,India,Wheat,,22814,1083,72133,26.54
10840,India,Wheat,,22814,1083,72133,27.35
10841,India,Wheat,,22814,1083,72133,25.4
10842,India,Wheat,,22814,1083,72133,25.99
10843,India,Wheat,,22814,1083,72133,25.32
10844,India,Wheat,,22814,1083,72133,23.77
10845,India,Wheat,,22814,1083,72133,26.2
10846,India,Wheat,,22814,1083,72133,25.74
10847,India,Wheat,,22814,1083,72133,25.55
10848,India,Wheat,,22814,1083,72133,25.06
10849,India,Wheat,,22814,1083,72133,26.34
10850,India,Wheat,,22814,1083,72133,24.62
10851,India,Wheat,,22814,1083,72133,26.7
10852,India,Wheat,,22814,1083,72133,26.7
10853,India,Wheat,,22814,1083,72133,25.74
10854,India,Cassava,,232463,1083,70791,25.69
10855,India,Cassava,,232463,1083,70791,26.82
10856,India,Cassava,,232463,1083,70791,26.09
10857,India,Cassava,,232463,1083,70791,23.79
10858,India,Cassava,,232463,1083,70791,25.16
10859,India,Cassava,,232463,1083,70791,25.91
10860,India,Cassava,,232463,1083,70791,25.52
10861,India,Cassava,,232463,1083,70791,26.41
10862,India,Cassava,,232463,1083,70791,27.24
10863,India,Cassava,,232463,1083,70791,25.41
10864,India,Cassava,,232463,1083,70791,25.73
10865,India,Cassava,,232463,1083,70791,25.27
10866,India,Cassava,,232463,1083,70791,23.79
10867,India,Cassava,,232463,1083,70791,26.32
10868,India,Cassava,,232463,1083,70791,25.52
10869,India,Cassava,,232463,1083,70791,25.58
10870,India,Cassava,,232463,1083,70791,25.14
10871,India,Cassava,,232463,1083,70791,26.37
10872,India,Cassava,,232463,1083,70791,24.62
10873,India,Cassava,,232463,1083,70791,26.78
10874,India,Cassava,,232463,1083,70791,26.78
10875,India,Cassava,,232463,1083,70791,25.89
10876,India,Maize,,16758,1083,70791,25.69
10877,India,Maize,,16758,1083,70791,26.82
10878,India,Maize,,16758,1083,70791,26.09
10879,India,Maize,,16758,1083,70791,23.79
10880,India,Maize,,16758,1083,70791,25.16
10881,India,Maize,,16758,1083,70791,25.91
10882,India,Maize,,16758,1083,70791,25.52
10883,India,Maize,,16758,1083,70791,26.41
10884,India,Maize,,16758,1083,70791,27.24
10885,India,Maize,,16758,1083,70791,25.41
10886,India,Maize,,16758,1083,70791,25.73
10887,India,Maize,,16758,1083,70791,25.27
10888,India,Maize,,16758,1083,70791,23.79
10889,India,Maize,,16758,1083,70791,26.32
10890,India,Maize,,16758,1083,70791,25.52
10891,India,Maize,,16758,1083,70791,25.58
10892,India,Maize,,16758,1083,70791,25.14
10893,India,Maize,,16758,1083,70791,26.37
10894,India,Maize,,16758,1083,70791,24.62
10895,India,Maize,,16758,1083,70791,26.78
10896,India,Maize,,16758,1083,70791,26.78
10897,India,Maize,,16758,1083,70791,25.89
10898,India,Potatoes,,160294,1083,70791,25.69
10899,India,Potatoes,,160294,1083,70791,26.82
10900,India,Potatoes,,160294,1083,70791,26.09
10901,India,Potatoes,,160294,1083,70791,23.79
10902,India,Potatoes,,160294,1083,70791,25.16
10903,India,Potatoes,,160294,1083,70791,25.91
10904,India,Potatoes,,160294,1083,70791,25.52
10905,India,Potatoes,,160294,1083,70791,26.41
10906,India,Potatoes,,160294,1083,70791,27.24
10907,India,Potatoes,,160294,1083,70791,25.41
10908,India,Potatoes,,160294,1083,70791,25.73
10909,India,Potatoes,,160294,1083,70791,25.27
10910,India,Potatoes,,160294,1083,70791,23.79
10911,India,Potatoes,,160294,1083,70791,26.32
10912,India,Potatoes,,160294,1083,70791,25.52
10913,India,Potatoes,,160294,1083,70791,25.58
10914,India,Potatoes,,160294,1083,70791,25.14
10915,India,Potatoes,,160294,1083,70791,26.37
10916,India,Potatoes,,160294,1083,70791,24.62
10917,India,Potatoes,,160294,1083,70791,26.78
10918,India,Potatoes,,160294,1083,70791,26.78
10919,India,Potatoes,,160294,1083,70791,25.89
10920,India,"Rice, paddy",,26092,1083,70791,25.69
10921,India,"Rice, paddy",,26092,1083,70791,26.82
10922,India,"Rice, paddy",,26092,1083,70791,26.09
10923,India,"Rice, paddy",,26092,1083,70791,23.79
10924,India,"Rice, paddy",,26092,1083,70791,25.16
10925,India,"Rice, paddy",,26092,1083,70791,25.91
10926,India,"Rice, paddy",,26092,1083,70791,25.52
10927,India,"Rice, paddy",,26092,1083,70791,26.41
10928,India,"Rice, paddy",,26092,1083,70791,27.24
10929,India,"Rice, paddy",,26092,1083,70791,25.41
10930,India,"Rice, paddy",,26092,1083,70791,25.73
10931,India,"Rice, paddy",,26092,1083,70791,25.27
10932,India,"Rice, paddy",,26092,1083,70791,23.79
10933,India,"Rice, paddy",,26092,1083,70791,26.32
10934,India,"Rice, paddy",,26092,1083,70791,25.52
10935,India,"Rice, paddy",,26092,1083,70791,25.58
10936,India,"Rice, paddy",,26092,1083,70791,25.14
10937,India,"Rice, paddy",,26092,1083,70791,26.37
10938,India,"Rice, paddy",,26092,1083,70791,24.62
10939,India,"Rice, paddy",,26092,1083,70791,26.78
10940,India,"Rice, paddy",,26092,1083,70791,26.78
10941,India,"Rice, paddy",,26092,1083,70791,25.89
10942,India,Sorghum,,9820,1083,70791,25.69
10943,India,Sorghum,,9820,1083,70791,26.82
10944,India,Sorghum,,9820,1083,70791,26.09
10945,India,Sorghum,,9820,1083,70791,23.79
10946,India,Sorghum,,9820,1083,70791,25.16
10947,India,Sorghum,,9820,1083,70791,25.91
10948,India,Sorghum,,9820,1083,70791,25.52
10949,India,Sorghum,,9820,1083,70791,26.41
10950,India,Sorghum,,9820,1083,70791,27.24
10951,India,Sorghum,,9820,1083,70791,25.41
10952,India,Sorghum,,9820,1083,70791,25.73
10953,India,Sorghum,,9820,1083,70791,25.27
10954,India,Sorghum,,9820,1083,70791,23.79
10955,India,Sorghum,,9820,1083,70791,26.32
10956,India,Sorghum,,9820,1083,70791,25.52
10957,India,Sorghum,,9820,1083,70791,25.58
10958,India,Sorghum,,9820,1083,70791,25.14
10959,India,Sorghum,,9820,1083,70791,26.37
10960,India,Sorghum,,9820,1083,70791,24.62
10961,India,Sorghum,,9820,1083,70791,26.78
10962,India,Sorghum,,9820,1083,70791,26.78
10963,India,Sorghum,,9820,1083,70791,25.89
10964,India,Soybeans,,8947,1083,70791,25.69
10965,India,Soybeans,,8947,1083,70791,26.82
10966,India,Soybeans,,8947,1083,70791,26.09
10967,India,Soybeans,,8947,1083,70791,23.79
10968,India,Soybeans,,8947,1083,70791,25.16
10969,India,Soybeans,,8947,1083,70791,25.91
10970,India,Soybeans,,8947,1083,70791,25.52
10971,India,Soybeans,,8947,1083,70791,26.41
10972,India,Soybeans,,8947,1083,70791,27.24
10973,India,Soybeans,,8947,1083,70791,25.41
10974,India,Soybeans,,8947,1083,70791,25.73
10975,India,Soybeans,,8947,1083,70791,25.27
10976,India,Soybeans,,8947,1083,70791,23.79
10977,India,Soybeans,,8947,1083,70791,26.32
10978,India,Soybeans,,8947,1083,70791,25.52
10979,India,Soybeans,,8947,1083,70791,25.58
10980,India,Soybeans,,8947,1083,70791,25.14
10981,India,Soybeans,,8947,1083,70791,26.37
10982,India,Soybeans,,8947,1083,70791,24.62
10983,India,Soybeans,,8947,1083,70791,26.78
10984,India,Soybeans,,8947,1083,70791,26.78
10985,India,Soybeans,,8947,1083,70791,25.89
10986,India,Sweet potatoes,,82835,1083,70791,25.69
10987,India,Sweet potatoes,,82835,1083,70791,26.82
10988,India,Sweet potatoes,,82835,1083,70791,26.09
10989,India,Sweet potatoes,,82835,1083,70791,23.79
10990,India,Sweet potatoes,,82835,1083,70791,25.16
10991,India,Sweet potatoes,,82835,1083,70791,25.91
10992,India,Sweet potatoes,,82835,1083,70791,25.52
10993,India,Sweet potatoes,,82835,1083,70791,26.41
10994,India,Sweet potatoes,,82835,1083,70791,27.24
10995,India,Sweet potatoes,,82835,1083,70791,25.41
10996,India,Sweet potatoes,,82835,1083,70791,25.73
10997,India,Sweet potatoes,,82835,1083,70791,25.27
10998,India,Sweet potatoes,,82835,1083,70791,23.79
10999,India,Sweet potatoes,,82835,1083,70791,26.32
11000,India,Sweet potatoes,,82835,1083,70791,25.52
11001,India,Sweet potatoes,,82835,1083,70791,25.58
11002,India,Sweet potatoes,,82835,1083,70791,25.14
11003,India,Sweet potatoes,,82835,1083,70791,26.37
11004,India,Sweet potatoes,,82835,1083,70791,24.62
11005,India,Sweet potatoes,,82835,1083,70791,26.78
11006,India,Sweet potatoes,,82835,1083,70791,26.78
11007,India,Sweet potatoes,,82835,1083,70791,25.89
11008,India,Wheat,,23940,1083,70791,25.69
11009,India,Wheat,,23940,1083,70791,26.82
11010,India,Wheat,,23940,1083,70791,26.09
11011,India,Wheat,,23940,1083,70791,23.79
11012,India,Wheat,,23940,1083,70791,25.16
11013,India,Wheat,,23940,1083,70791,25.91
11014,India,Wheat,,23940,1083,70791,25.52
11015,India,Wheat,,23940,1083,70791,26.41
11016,India,Wheat,,23940,1083,70791,27.24
11017,India,Wheat,,23940,1083,70791,25.41
11018,India,Wheat,,23940,1083,70791,25.73
11019,India,Wheat,,23940,1083,70791,25.27
11020,India,Wheat,,23940,1083,70791,23.79
11021,India,Wheat,,23940,1083,70791,26.32
11022,India,Wheat,,23940,1083,70791,25.52
11023,India,Wheat,,23940,1083,70791,25.58
11024,India,Wheat,,23940,1083,70791,25.14
11025,India,Wheat,,23940,1083,70791,26.37
11026,India,Wheat,,23940,1083,70791,24.62
11027,India,Wheat,,23940,1083,70791,26.78
11028,India,Wheat,,23940,1083,70791,26.78
11029,India,Wheat,,23940,1083,70791,25.89
11030,India,Cassava,,230430,1083,66388,25.88
11031,India,Cassava,,230430,1083,66388,27.46
11032,India,Cassava,,230430,1083,66388,26.1
11033,India,Cassava,,230430,1083,66388,24.34
11034,India,Cassava,,230430,1083,66388,25.22
11035,India,Cassava,,230430,1083,66388,25.75
11036,India,Cassava,,230430,1083,66388,25.92
11037,India,Cassava,,230430,1083,66388,26.34
11038,India,Cassava,,230430,1083,66388,27.24
11039,India,Cassava,,230430,1083,66388,25.5
11040,India,Cassava,,230430,1083,66388,26.32
11041,India,Cassava,,230430,1083,66388,25.27
11042,India,Cassava,,230430,1083,66388,24.34
11043,India,Cassava,,230430,1083,66388,26.07
11044,India,Cassava,,230430,1083,66388,25.92
11045,India,Cassava,,230430,1083,66388,25.66
11046,India,Cassava,,230430,1083,66388,25.06
11047,India,Cassava,,230430,1083,66388,27.07
11048,India,Cassava,,230430,1083,66388,24.74
11049,India,Cassava,,230430,1083,66388,27.04
11050,India,Cassava,,230430,1083,66388,27.04
11051,India,Cassava,,230430,1083,66388,25.97
11052,India,Maize,,16015,1083,66388,25.88
